"iso","em","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"abw","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.70923918694528e-05","0.000172655210782535","0.000256688456739245","0.000339192129739587","0.000420166229783555","0.000499610756871155","0.000577525711002382","0.000653911092177238","0.000728766900395729","0.000802093135657844","0.000933039236910046","0.00107321020865069","0.00122260605087977","0.00138122676359729","0.00154907234680325","0.00172614280049764","0.00191243812468049","0.00210795831935178","0.00231270338451148","0.00252667332015965","0.00298311401214625","0.00347099346851174","0.00399031168925616","0.00454106867437947","0.00512326442388173","0.00573689893776291","0.00638197221602295","0.00705848425866196","0.00776643506567987","0.00850582463707669","0.00901100621057492","0.00953048804765998","0.0100642701483318","0.0106123525125905","0.011174735140436","0.0117514180318683","0.0123424011868875","0.0129476846054934","0.0135672682876862","0.0142011522334658","0.0145561810393024","0.0149112098451391","0.0152662386509757","0.0156212674568123","0.015976296262649","0.0163313250684857","0.0166863538743223","0.017041382680159","0.0173964114859956","94.7457853683508","189.474268030213","282.962715981086","326.052317760152","662.771932184968","554.485590487658","727.839939518405","504.945451662107","448.587548935076","583.632496702403","504.888273660382","527.368157931538","576.795261853242","548.126829776625","527.485743517758","467.88887187251","432.141154118779","525.11714522004","481.438848630055","621.230942759504","685.454486474202","614.137614616791","680.173611755506","686.153563287168","523.320739071708","460.868181682614","838.848806664652","432.62751800598","456.357842551051","440.858434255215","429.252344394149","607.774547888047","634.747509808679","347.878235850434","740.31722949796","837.137597153325","213.850073248448","476.615955960672","619.024770637267","623.006158271795","1535.50864677215","1664.78647596863","1475.86426265891","1452.76954188276","1423.85094431215","1472.19696173833","1487.58196044856","1509.02240524652","1378.01518786327","1394.39494714221","1736.02361621728","1741.95096763678","1779.48263555066","1781.0821516131","1762.44352569476","1759.83737047979","1760.24860262629","1839.45735321804","1798.61291400686","1798.95563483377","1908.05814820529","1955.13485562374","2174.93701029974","2259.53229439375","2256.66094375189"
"afg","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.4011622945131","121.105625607069","126.882757590609","128.519542400785","139.645937065686","146.582303328356","205.766585030943","248.065503112924","404.248088421075","452.209024083145","519.047450944242","562.271080488006","654.703631107548","908.124922985286","931.442338922498","1108.14953770935","1323.06084355168","1431.54223321189","1726.51546616335","1670.75108121763","1586.19978950117","1811.48408616497","2847.81711189629","2798.40093508963","3463.71568117018","3818.86690536778","4386.48730698512","4796.06543760052","5369.64860309166","6318.35966934297","5584.34418090186","4604.00455376911","5252.8825989665","5963.06598482455","6228.39616398269","6676.77145244728","3187.03582761396","2839.1779467162","2823.34853010698","2608.98145191065","2633.46443132514","2537.32617191488","2369.3015944524","1421.97488565456","1364.32631359688","1401.62194297943","1268.41434956761","1186.91654087519","1118.22700483745","1070.91315810915","888.085318183811","837.555155632792","719.388335148207","653.799208295672","842.742991269686","918.654317569888","1276.87504483969","1590.15175656598","2194.61758830869","3736.65446650857","5723.06505695585","7126.34268967978","10667.7220538112","13558.4196719048","14462.9620967351","15669.094818867"
"ago","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","597.049603214693","738.033503171134","913.877199037159","927.774358698996","1233.05162064698","1441.00448829155","2042.36579235882","2328.89949652926","2313.38167813462","2410.82647512166","1755.16659036559","1577.09075542779","4913.51265509919","5048.16974680889","5102.67141500193","4978.18573340415","6531.79959769148","3991.95875489071","6971.69769498785","12175.4049859793","9027.88138926028","8730.6952480731","9796.77456614158","9919.79496069431","10117.6245936665","9600.03826732067","8689.09335394532","9358.58681811363","10740.012139085","10702.8013826844","10755.8897902937","10427.3378400582","10056.9914987706","10256.1772225996","10094.7970474395","10744.7885858925","10762.2529879457","10867.1734724482","11618.9437157719","11747.289390296","11048.4009474617","11214.9231029507","11187.0167207905","11434.6374324812","10860.2013901299","12137.8028122996","14661.5741790238","15047.3208610525","15579.0608647902","16387.1190789272","15133.0425668035","14976.4064971362","14796.5961056638","14883.6395498658","15385.5890150968","14447.7287368828","15407.6524564188","15951.3689353752","17779.281234039","19731.360455008","20852.0381268868","22185.7398455422","24102.6390787574","25595.6292304048","24972.7355119322"
"alb","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.61541060940772","7.61541060940771","19.0385265235193","133.199278377626","308.283315106994","361.732003946866","449.309225955055","719.65630258903","650.976792530342","772.964176854883","479.770868392687","159.923622797562","125.654275055227","512.139566799914","963.349442090076","734.253574029476","1054.73436940297","330.015679406945","452.117368852699","425.168778221975","483.035726751736","598.172237219239","780.423556479171","978.52804417155","1667.20021113245","1369.89854848965","1625.97088192434","2238.66482330943","2508.88557567951","2680.1677778072","2283.78467758744","2227.28496694183","2396.31965013153","2806.59477205502","2960.40716195325","3402.70547155822","3628.7928622697","4031.71906100829","4846.13837495512","5608.60334301055","4824.16293018748","5080.99488688913","5162.05904730532","5538.79269205157","5854.80385963371","6509.70126018355","7699.3845782935","7977.76775903329","6630.87561482028","6750.54460052578","7329.93286453291","7895.05548243686","7514.36763302732","7613.30569929901","7933.60125108275","7701.27449083822","7823.54743378523","6840.03186716828","4523.07986740626","2505.69789880123","2404.0157748308","2498.27489310012","2292.27100656717","2270.01282831165","1720.65671723024","1942.30121629914","3355.73217190465","3472.2065182322","3569.10265878297","4295.8959947271","4580.89345446855","4844.71085658651","4509.38461578218","4654.01732887346","4656.58892539512","4424.57735782388","4519.44419673031","5016.55823865718","5145.80245904251","4709.1601007368","4903.58895382388","4936.21216412656"
"are","CO2","kt","3.06206544850517","3.0773757757477","3.09268610299022","3.10799643023275","3.12330675747528","3.1386170847178","3.15392741196033","3.16923773920286","3.18454806644537","3.1998583936879","3.21516872093043","3.23124456453508","3.24732040813973","3.26339625174438","3.27947209534904","3.29554793895369","3.31162378255834","3.32769962616299","3.34377546976765","3.3598513133723","3.37592715697695","3.39280679276184","3.40968642854672","3.42656606433161","3.44344570011649","3.46032533590137","3.47720497168626","3.49408460747114","3.51096424325603","3.52784387904091","3.5447235148258","3.56244713239993","3.58017074997406","3.59789436754818","3.61561798512231","3.63334160269644","3.65106522027058","3.6687888378447","3.68651245541883","3.70423607299296","3.72195969056709","3.74056948901993","3.75917928747276","3.7777890859256","3.79639888437843","3.81500868283127","3.8336184812841","3.85222827973694","3.87083807818977","3.88944787664261","3.90805767509544","3.92759796347091","3.9471382518464","3.96667854022187","3.98621882859735","4.00575911697283","4.02529940534831","4.04483969372378","4.06437998209926","4.08392027047474","4.10346055885021","4.12450394633149","4.14554733381278","4.16659072129406","4.18763410877534","4.20867749625663","4.22972088373791","4.2507642712192","4.27180765870049","4.29285104618177","4.31389443366305","4.33601696922029","4.35813950477754","4.38026204033479","4.40238457589203","4.42450711144928","4.44662964700652","4.46875218256377","4.49087471812102","4.51299725367826","4.53511978923552","4.55837681379569","4.58163383835587","4.60489086291605","4.62814788747624","4.65140491203642","4.6746619365966","4.69791896115679","4.72117598571697","4.74443301027715","4.76769003483734","4.79213972732367","4.81658941981002","4.84103911229637","4.86548880478271","4.88993849726906","4.9143881897554","4.93883788224175","4.9632875747281","4.98773726721443","5.01218695970078","5.03789048257104","5.06359400544131","5.08929752831157","5.11500105118182","5.14070457405208","5.16640809692235","5.19211161979261","5.21781514266287","5.24351866553312","5.26922218840339","5.27454463505834","5.27986708171329","5.28518952836824","5.2905119750232","5.29583442167815","5.30115686833311","5.30647931498806","5.31180176164301","5.31712420829797","5.32244665495292","5.3278228636953","5.33319907243767","5.33857528118005","5.34395148992242","5.3493276986648","5.35470390740717","5.36008011614956","5.36545632489194","5.37083253363431","5.37620874237669","5.38163925625787","5.38706977013906","5.39250028402025","5.39793079790144","5.40336131178263","5.40879182566382","5.414222339545","5.4196528534262","5.42508336730738","5.43051388118857","5.43599924874533","5.44148461630208","5.44696998385884","5.45245535141559","5.45794071897235","5.4634260865291","5.46891145408587","5.47439682164262","5.47988218919938","5.48536755675613","5.49092787350815","5.49648822536958","5.50204861234043","5.50760903442067","5.51316949161034","5.5187299839094","5.52429051131788","5.52985107383576","5.53541167146306","5.54097230419977","5.58428081883933","5.62758960767833","5.67089867071675","5.71420800795459","5.75751761939185","5.80082750502854","5.84413766486464","5.88744809890017","5.93075880713513","5.9740697895695","6.02076309198915","6.06745669002901","6.11415058368905","6.16084477296928","6.20753925786967","6.25423403839028","6.30092911453107","6.34762448629205","6.39432015367321","6.44101611667456","6.49135875888029","6.5417017198005","6.59204499943513","6.64238859778422","6.69273251484775","6.74307675062574","6.79342130511818","6.84376617832507","6.89411137024641","6.94445688088219","6.99873409202665","7.05301164678408","7.10728954515444","7.16156778713776","7.21584637273402","7.27012530194325","7.32440457476542","7.37868419120054","7.43296415124862","7.48724445490966","7.31318568208754","7.51128477483439","7.87400062479246","8.25318037409437","8.56070591075012","8.77043149054664","8.91624804073434","9.08304625358667","17.0985884598693","17.6667544425001","18.5645937665103","24.9039777565281","28.8603693523174","27.6913864417438","31.5517353940568","35.270088352909","1099.88145195584","1469.02764367081","1482.15392339677","928.164668198438","2444.45833690829","2570.08124229857","3209.69715176759","3350.22555507667","4867.10750459895","6548.00183825727","10984.9658123604","12915.0442367946","15414.1340779896","40937.7574940212","38468.2800587484","39135.7797214582","37808.235302582","50445.8366781257","52376.0839479015","51403.0868325656","53409.3435846787","52850.6850716288","58656.574281227","58340.018363078","64567.4279194667","62946.9640604853","65353.0748313414","71034.0593018647","74844.0843261635","81884.659288031","79653.7873732899","83166.4776484842","84867.9822950044","88491.9806725929","88338.9227815178","98211.071231178","103484.343197987","108592.087567844","111067.308747266","118654.748272154","129024.829978576","151084.306396318","153058.865884368","157143.172124226","163789.094709368","175291.025054309","174642.086161223","173910.816159985"
"arg","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1490.15570885801","1223.33728801518","2411.4344072398","1882.83187538139","1288.78331576908","1902.96911469028","2134.54736674255","2738.6645460093","3111.2034732238","3166.58088132325","2859.48798186265","3226.99259924993","4012.34493229672","2844.38505238098","3423.33068251163","3866.34994730726","3931.79597506114","5215.54498100302","5472.29478219137","8593.56687506962","8593.56687506961","11163.5013563223","9559.99628658034","14350.0679951443","16482.0274146284","16529.7858672989","18097.9091914118","16694.5465248642","14872.0929520256","12678.3502596815","9384.63834012515","10407.8262523363","12781.4590118686","16270.2188740877","16223.6500588021","18768.5076277208","20794.8346077854","24183.0665141559","24366.2427640054","23958.306195092","27102.882345235","26629.9789345988","27605.1576965013","28033.4513556663","27311.6302199763","27348.3296158756","27804.4511141536","29599.1935689652","29830.9997901689","31323.7760975267","33680.2715435118","33394.7632696055","34568.3408317356","31960.3509613252","29097.8515887093","28077.2618145147","28913.841226268","29759.3695505857","30876.2778494342","32858.9406460804","33964.6889333131","37777.8466965935","35950.1461855597","35519.9620272563","40283.3665540018","39568.6141070997","38034.6168421603","39608.0292723336","42303.1418185202","47228.018799806","50771.9209588082","47129.3992356411","52206.2332446219","51962.9990057292","54350.4216561359","57037.6531233045","52983.2959499904","58660.5840059781","61769.3967675069","63853.2394322012","65721.9436733616","69303.8653305862","77874.6754656883","83281.1888643536","92068.9548343919","92795.4822351646","97296.0121339064","96789.6636428481","94301.4428416437","99007.0213121612","102238.008403368","101221.574433908","107026.595484984","103230.692371167","101369.781600485","98452.5179043609","100489.132130351","98615.553542268","90956.1508480331","100682.157365703","106977.336010336","111819.384958102","107996.242216795","101502.72047233","107928.728872023","110359.278235295","111067.252061108","120560.427799102","123583.02295431","130064.018833503","138896.140458583","142260.07172664","145269.063771212","144206.107202196","134647.89306316","126244.195324608","136184.482667824","156321.757560058","159810.63938228","169999.691231028","176586.521976444","187594.92089601","179606.893785261","182753.613498247","189927.283223918","195307.116410827","191268.801403946","191502.151050916"
"arm","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0303799036683127","0.0360022876024391","0.0237072955325847","0.0292761347189269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.158710436616734","0","0","0","0","0.453753510471182","0","0","0.616270287913553","0.646580792379932","0.872173677812127","1.10344625796382","0.992403448916855","1.05422457703065","1.19310624884068","1.15042497761485","3.48445673547024","4.01232033479233","3.45481630167262","4.5950168736954","4.96234721466836","6.53890855462829","6.67340794183224","6.45457477289595","7.92864671808503","9.33960566254322","11.9155025912444","12.7434577615331","16.3080270905882","17.249459434253","19.9691247360905","22.1741651831119","23.3619812636096","26.2113295138169","29.2613600925217","33.3374774847676","34.1312525375074","38.412288849818","40.4344000208467","42.1035855212214","48.8368509671279","55.900973511411","58.3453371016213","68.2189135707484","65.9594585806501","81.3072739766984","81.3697838156785","92.9183894408576","103.962564193415","115.727654614571","132.104707825715","139.213804287417","131.220604656363","122.151205994851","130.404326316559","106.261488852332","119.562791316306","129.416223857549","128.422468450827","134.633977754645","133.202592058843","133.87433820653","146.509458874876","153.906429634571","145.868669288046","142.970727083858","153.017819714641","139.331599302915","56.9778265526823","56.4946237355017","50.8017656571147","52.2266443178487","63.3076739918785","69.8339120812257","78.421271782673","79.6192020525055","105.781113439183","128.68789177056","137.40323423604","153.905198375005","233.280333996903","284.129350386392","300.824208265522","325.790938060889","388.804861118963","433.623147697203","493.969292368532","511.872365616533","543.754357446678","552.440304444428","639.098460144795","576.510050272274","443.893605844266","502.061761233182","538.9364032327","479.633915637833","546.701889410109","664.994456389456","722.263114391335","828.881490076916","937.504223508024","1023.17703206953","1118.28069753402","1211.36126559341","1347.76474528687","1566.68829251397","1787.38063199727","2041.88028391898","2293.60893811893","2515.69431784567","2747.44553069918","2983.51953803228","3295.82251626878","3649.84354693564","3990.1231597656","4323.76514240349","4648.38217674397","4980.33094951066","5236.26053961931","5539.83351035559","5881.83094480027","6270.13670038443","6631.59592409418","7136.46671712358","7646.5016406697","8365.68754203408","8727.70983516113","8976.88028648216","9307.34660541918","9567.66825879893","9997.12409483213","10088.4713807177","10169.5106655801","10246.92289651","10238.6282497434","10238.8732053282","9889.83701058579","10101.0075965013","10599.7098409508","10212.4683309592","11679.4790404206","9431.62702400179","7092.70737310651","4861.9421324762","3191.07440211798","2764.40312442753","2811.00010975337","2713.59633230218","2649.58895343825","2241.43526719056","2065.27102497838","2072.3512374581","2089.50939393344","2102.59166998525","2302.23408271964","2435.0456389603","2503.36892051538","2785.59798418349","2999.60993980594","2736.49683336185","2700.34023833508","2855.42266096261","3059.70069666855","2938.9177734308","3147.689746198"
"asm","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.32501000000001","6.46694","6.58856","6.70009","6.80151000000001","6.88251999999999","6.96363999999999","7.04476000000002","7.16648","7.33871999999999","7.61880957436637","7.94037263939535","8.31376969763268","8.70863867030299","9.10472102934905","9.50192641241195","9.89959962391405","10.297284326481","10.7035470917799","11.0488507941123","11.3932322057968","11.7365496795478","11.9797544029554","12.3209019364079","12.5589689291158","12.8001640248426","13.0507378238697","13.302662559037","13.5572800751896","13.9113521263736","14.1196023269453","14.52796468057","14.8367982276301","15.1422515307334","15.4415318239356","15.8370613295118","16.1258808350243","16.413385335426","16.1760425690967","16.0010113199269","15.9036767511417","15.8729382965392","15.8894737814285","15.922573182635"
"atg","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000181894292154896","0.00036326062201625","0.000544098989584064","0.000724409394858333","0.000904191837839066","0.00108344631852626","0.00126217283691991","0.00144037139302002","0.00161804198682659","0.00179518461833962","0.00194750208076725","0.00209487390693918","0.00223730009685541","0.00237478065051595","0.00250731556792079","0.00263490484906994","0.00275754849396338","0.00287524650260113","0.00298799887498318","0.00309580561110954","0.0032611813356214","0.00342756519765294","0.00359495719720411","0.00376335733427495","0.00393276560886545","0.0041031820209756","0.0042746065706054","0.00444703925775487","0.00462048008242399","0.00479492904461276","0.0050366008993146","0.00528355281121308","0.00553578478030822","0.00579329680660001","0.00605608889008839","0.00632416103077353","0.00659751322865525","0.00687614548373362","0.00716005779600865","0.00744925016548032","0.00782757122490477","0.00821526251873341","0.00861232404696633","0.0090187558096035","0.00943455780664493","0.0098597300380907","0.0102942725039407","0.0107381852041949","0.0111914681388534","7.92138745868651","6.00733306584555","10.1174021141832","12.2296673717019","10.2428021180856","16.4292885559601","16.4634586638397","17.7391085699247","23.7503247015798","23.8563023910875","29.952111301041","39.1135334387897","84.6284650919706","69.8610163742339","76.3118308300418","125.758406246157","292.906166529546","477.324471806899","841.259023181364","1074.30811645466","396.748700988018","318.246377246794","321.496666082965","267.666437778656","284.826818868564","520.854016050847","285.062943076975","309.408855007232","392.698387570743","310.714311765464","134.84040928174","146.464521267051","302.402107040311","122.12143297993","164.230002059534","240.867430408518","296.677350455638","319.297640997141","320.257206843777","306.408956421568","292.544241066286","292.630644638573","290.49845376463","292.577002555061","295.124571991741","310.7165853676","311.751117882487","322.912615816448","314.80494144894","324.699040964298","308.141033720458","305.818294670938","323.755321496701","338.105264241519","348.091835356433","341.899345218744","352.562770138738","385.736158496496","397.163127736939","416.243014982712","460.059157243102","465.22920575051","512.129717242246","530.557334186681","530.572444827669"
"aus","CO2","kt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.271999694588","56.5485645437322","84.8298199840311","113.115891452083","141.406904384485","169.702984217836","198.004256388735","226.310846333779","254.622879489567","282.940481292696","517.223685880825","361.155006063122","405.846274118385","272.09228048031","428.324407379669","707.251082509253","908.117708626058","744.655697140112","651.833174278969","611.06285875988","704.133302699289","719.13902502025","882.862584644485","905.321918787304","842.279085859543","946.541311000147","1084.27435267634","984.079666288238","1478.7387309993","2241.11058452931","1795.26957429731","2044.6551087434","2465.08542713374","2614.14683741943","2952.84017539199","2934.65149416974","3083.7805887483","3586.13077835585","3482.51227839025","3605.69499263767","4074.62857243668","4220.15041311984","4031.08736305377","4433.17513301642","4668.00066310474","4579.40146478734","5059.65580253412","5707.26946823156","5909.20671082182","10356.9824021618","11716.8526445728","11686.1144038642","11566.8201655804","11950.6626097771","12517.4533651428","14867.6633659694","15987.8860522511","17255.5416643605","14967.148260298","17820.4836984391","19609.1975068618","21127.8462038986","22697.4977563437","24746.7641046568","21977.9770076073","19351.3416973362","20746.3053922053","22814.8381021555","21521.7204880436","25348.6155268473","22855.8012764973","24074.3241249583","24619.7990544298","26865.4153500089","28072.1141468704","27831.0785594415","29010.5789377424","26416.108052019","23885.6562249443","22353.0285729344","19623.6394371679","20179.0529873036","21115.1260220425","21900.3451091649","23996.5292522709","25422.4296354033","26897.7907184245","26174.8339357957","29969.5525541372","27080.540480451","32214.8805043043","34057.2918602811","32674.5001004633","31941.5727266258","30501.8095158452","33042.3072443806","35443.7765046668","35810.1803442855","35087.7824011712","53466.2297092194","58183.7446473612","59392.0450497598","58232.801894278","67387.6288333918","70606.9451903168","73404.461539884","75161.0362273858","78039.2021076204","83932.8564550378","91634.3741525646","95068.4908752958","97319.6762150724","105671.760668209","111557.233916839","118255.437150641","122973.941171205","130701.89927548","138887.345940167","144486.978031845","144936.796243296","147036.343942858","150862.245776581","159281.01679931","170648.759561321","175752.591422043","178264.82164777","190702.310030173","195832.928792738","202359.332195073","215339.728667939","215832.706669092","221611.106534746","213891.489738303","223299.771543907","229877.565551249","231930.337040618","241438.064242809","244504.436822326","265168.248583467","274517.216346926","274208.179870939","279399.057571933","282912.281900472","287094.342986661","297170.380598178","304133.566882332","312146.754039275","325849.819613788","335757.623373991","342385.415609891","348877.217750643","353967.917113384","358988.914529196","371776.524111449","374445.503011911","379836.264040524","387094.767864411","391436.746341869","390947.815015649","391288.057018716","389115.491183417","388858.851899908","387755.66235897","392754.558540878"
