Units,Year,Afghanistan,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,BosniaandHerzegovina,Botswana,Brazil,Brunei,Bulgaria,BurkinaFaso,Burundi,BritishVirginIslands,Cambodia,Cameroon,Canada,CentralAfricanRepublic,Chad,Chile,China,Colombia,Congo,CookIslands,CostaRica,Croatia,Cuba,Cyprus,CzechRepublic,DemocraticRepublicoftheCongo,Denmark,Djibouti,Dominica,DominicanRepublic,Ecuador,Egypt,ElSalvador,EquatorialGuinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,FrenchGuiana,FrenchPolynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guadeloupe,Guatemala,Guinea,GuineaBissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,IvoryCoast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Martinique,Mauritania,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,NewCaledonia,NewZealand,Nicaragua,Niger,Nigeria,Niue,NorthKorea,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,PapuaNewGuinea,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,SaudiArabia,Senegal,Serbia,SierraLeone,Singapore,Slovakia,Slovenia,SolomonIslands,Somalia,SouthAfrica,SouthSudan,SouthKorea,Spain,SriLanka,StLucia,StVincent,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,TimorLeste,Togo,Tonga,TrinidadandTobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,UnitedArabEmirates,UnitedKingdom,UnitedStatesofAmerica,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,WesternSahara,Yemen,Zambia,Zimbabwe
TgC,1850,0.815569357,0.18189908,0.005022742,0.000127002,0.057573672,17.43376358,0.118521015,12.18148051,2.157338172,0.416971818,0.00190733,0.000172351,0.403550233,0.003465248,4.021502292,0.409201888,0.005977186,0.358135869,0.151621696,1.20849699,0.629363389,0.037860139,8.277595476,0.008533177,1.227194973,0.154252733,0.000172649,0.000713036,0.688914396,0.077039587,14.65256292,0.041179583,0.077479549,1.082354821,40.77548478,2.211071738,0.044692391,0.001944297,0.280713131,0.813827373,0.788973864,0.057994445,2.468913393,0.430032407,0.572144521,0,0.003469742,0.250746864,0.436644699,0,0.150067486,0.015377763,2.88E-05,0.89021715,0.028120945,0.035143184,5.655975975,10.55736052,0.001401479,0.032890417,0.028169898,0.00761097,0.411418542,4.725526796,0.022569473,0.53561828,0.016732959,0.699280152,0.302795014,0.027068593,0.164322025,0.811894254,0.63278405,1.494099648,0,1.252341331,30.54017636,1.883286397,0.134646862,0.470268109,0.070295116,3.799854826,0.306945473,0.11196659,3.723959463,0.009592329,1.084923432,0.012627296,7.53E-05,0.302902462,0.489839631,1.079564378,0.010661225,0,0.040302853,0.000769802,0.00219196,1.617530213,0.037310557,0.24666829,1.412193007,0.113019523,4.275882587,0.075207326,0.005991933,0.008028705,0.000102934,3.510441631,0.042655901,0.99692769,0.870807236,0.097690684,0.309336292,0.150805242,6.926249908,0.011371179,0.311251872,0.310599741,0.003811683,6.516013542,0.429215987,0.001579919,0.04273797,0.000566526,1.085666062,1.76727721,0.001345858,4.472367612,0.224370703,0.343488649,0.658785282,5.719928406,0.063450038,5.764580244,1.113604398,8.45E-05,4.713078266,41.20790023,3.02E-05,0.033810022,0.020218787,0.07895109,1.905342105,0.079929787,0.072377549,0.794346538,0.401953008,0.030668454,0.074440933,0.51896567,0.3287258,1.984943103,1.96922534,0.495552879,0.003643729,0.002232739,1.133309733,0.007337563,0.000887287,6.881800008,0.759018267,1.055665967,0.137179089,0.363196662,3.330113823,0.043257276,0.001054314,0.01901264,0.022283099,0.002383505,2.537723091,0.108935033,0.003596861,13.72445999,0.001840592,1.694854249,217.3990709,1.893149089,0.869482372,0.011728897,0.818570013,7.027019819,0,0.061932204,0.07704588,0.078905321
TgC,1851,0.824919452,0.166027076,0.005059305,8.60E-05,0.057582406,18.11601672,0.117971592,11.54555335,2.117469648,0.415109208,0.001960431,0.000172906,0.40256136,0.003564831,4.010360286,0.386828093,0.006152459,0.358156128,0.152845309,1.221056145,0.615792698,0.037864419,8.487474944,0.008896849,1.128231442,0.154275453,0.000174837,0.000737772,0.699448198,0.077040477,14.96954166,0.041208776,0.07752354,1.123681639,41.49324513,2.24735978,0.044701764,0.001979569,0.280826447,0.787030348,0.813864907,0.058183751,2.300611448,0.43021703,0.515179614,0,0.003561784,0.258730251,0.457395853,0,0.148447148,0.015384738,2.92E-05,0.893359622,0.028477351,0.035183277,5.554153542,9.727192099,0.001434146,0.033420419,0.028248456,0.007614014,0.409844895,4.340675,0.022862091,0.50367116,0.017152906,0.698661585,0.302807779,0.02708884,0.169043045,0.823645625,0.632230477,1.325350886,0,1.32986282,30.93389216,1.890124469,0.137776857,0.449655864,0.070518658,3.557676928,0.307037209,0.115200214,3.756207467,0.009849882,1.085830268,0.012717416,7.55E-05,0.301696788,0.500355654,1.076187613,0.011001524,0,0.040339545,0.000778366,0.002136303,1.612191718,0.035859563,0.237059241,1.433986663,0.113045999,4.312503045,0.075210143,0.004455508,0.008258953,0.000104238,3.519938989,0.042742285,0.992347627,0.973086617,0.095524738,0.30936737,0.150817889,7.074952186,0.011371179,0.311887827,0.288889948,0.003835281,6.198676901,0.429133105,0.001599943,0.043288386,0.000567015,1.142573968,1.733994306,0.001373228,4.506828416,0.224345014,0.349198861,0.670906199,5.821370526,0.063466397,5.26112862,1.050307323,8.48E-05,4.50919069,41.24385575,3.06E-05,0.034432378,0.020889,0.078994754,1.788801663,0.079934209,0.072346905,0.76069353,0.392366997,0.031788428,0.074444343,0.519144134,0.3287258,2.070956836,1.809618239,0.499844341,0.003743927,0.002284916,1.133564442,0.007559466,0.000888836,6.744587385,0.743515492,1.059570899,0.136705744,0.363289944,3.36092394,0.043907243,0.001068056,0.019101217,0.022837011,0.002396983,2.16751865,0.108559045,0.003643396,13.65649929,0.001846646,1.500771029,220.5454464,1.901981709,0.86681612,0.012365027,0.835626986,7.063621625,0,0.063505344,0.077074229,0.078938269
TgC,1852,0.834294133,0.154278246,0.005095502,4.20E-05,0.057591052,18.81026585,0.117376506,11.12699058,2.074219503,0.413073742,0.002004646,0.000173459,0.400904842,0.003625056,3.9979557,0.363663186,0.006287582,0.358176184,0.154070028,1.224172404,0.601046829,0.037868655,8.669048701,0.009267858,1.039472417,0.154297947,0.000177004,0.000759604,0.710032623,0.077041358,15.2191315,0.041248843,0.077567091,1.164057738,42.28096739,2.269682449,0.044711044,0.002015122,0.280533887,0.759340733,0.832602239,0.058363583,2.20494577,0.430399808,0.462547645,0,0.003611099,0.264982177,0.478108566,0,0.146641794,0.015391643,2.95E-05,0.896176688,0.028830193,0.035035511,5.448224027,8.905583177,0.001467846,0.033885696,0.028326229,0.007617028,0.408089348,3.918220578,0.023151783,0.471222497,0.017406217,0.696482899,0.302820416,0.027108883,0.173209744,0.835181626,0.631130081,1.222929399,0,1.409786959,31.33028252,1.896823576,0.14096376,0.429942005,0.070736738,3.320655156,0.307128027,0.117597572,3.788826229,0.010112543,1.080571786,0.012806634,7.58E-05,0.300360179,0.510913105,1.072442129,0.011346794,0,0.04037587,0.000786845,0.002077532,1.6061949,0.034340161,0.227320534,1.455919204,0.11307221,4.347475443,0.075212931,0.002576654,0.008407179,0.00010553,3.523649812,0.042819432,0.987361187,1.07201275,0.09320454,0.309398139,0.150830411,7.245713055,0.011371179,0.312543692,0.266760646,0.003831645,5.979234912,0.428293984,0.001619767,0.043833297,0.000563791,1.193271939,1.706247574,0.001400865,4.541362336,0.223818151,0.353079305,0.679927146,5.924494612,0.063482594,4.758826054,0.987611121,8.50E-05,4.29924474,41.27106107,3.10E-05,0.034955295,0.021570245,0.079037981,1.696464168,0.079938588,0.072290286,0.725894518,0.382376802,0.033080229,0.074447719,0.519320814,0.3287258,2.142799939,1.692354378,0.504138828,0.003798681,0.002320735,1.133816604,0.007800278,0.00089037,6.603462213,0.726285668,1.063535969,0.136161501,0.363382294,3.377646926,0.044556626,0.00108166,0.019193341,0.023141808,0.002410327,1.843874195,0.108125452,0.003689465,13.58410861,0.001852543,1.305731456,223.8583338,1.920291103,0.863685671,0.013022392,0.848010129,7.100817183,0,0.065098235,0.077102295,0.078970887
TgC,1853,0.843688089,0.145641156,0.005131338,-3.05E-06,0.057599611,19.51483852,0.116734093,10.95638384,2.030271744,0.410837763,0.002030628,0.000174016,0.398820583,0.003657094,3.984283771,0.340851134,0.006532616,0.35819604,0.155297777,1.216949701,0.586323674,0.03787285,8.840018717,0.009644872,0.981745439,0.154320215,0.000179148,0.000777284,0.720662955,0.077042231,15.39293548,0.041298366,0.077610207,1.204448662,43.04251645,2.276682798,0.04472023,0.00205095,0.279883742,0.731870904,0.844918436,0.058533446,2.111420078,0.430580757,0.42403225,0,0.003629437,0.269774717,0.498711225,0,0.144623032,0.015398479,2.99E-05,0.898660207,0.029179506,0.034729525,5.375055998,8.491116393,0.001496355,0.034281566,0.028403224,0.007620012,0.40615232,3.48399756,0.023438577,0.449062542,0.017544652,0.692936091,0.302832927,0.027128727,0.17676208,0.846504055,0.629450088,1.125072266,0,1.492975921,31.72930473,1.903377486,0.144207496,0.411418823,0.070949888,3.158878732,0.307217938,0.11930063,3.82165475,0.0103799,1.068753189,0.012894961,7.60E-05,0.298891288,0.521501116,1.06832525,0.011696937,0,0.040411831,0.000795239,0.002020177,1.599427245,0.032845324,0.217863776,1.478007219,0.113098159,4.380825103,0.075215692,0.001975536,0.008519745,0.000106808,3.515751313,0.042885343,0.981892801,1.166272478,0.090870476,0.309428602,0.150842806,7.438502727,0.011371179,0.3132237,0.25168677,0.003798903,5.894615904,0.426783977,0.001639393,0.04437276,0.000558308,1.236339561,1.684077951,0.001428769,4.571977417,0.222852402,0.354937916,0.685524436,6.029090292,0.063498628,4.473563838,0.951213285,8.53E-05,4.097661466,41.28951957,3.14E-05,0.035372949,0.02226267,0.079080775,1.637221655,0.079942922,0.072210814,0.691666608,0.376437155,0.03454645,0.074451062,0.519495728,0.3287258,2.19858467,1.608179572,0.508436896,0.003814915,0.002326415,1.134066246,0.00803545,0.000891889,6.508523253,0.708255767,1.067129322,0.135539914,0.36347372,3.379855146,0.045207304,0.001095128,0.019290922,0.023237134,0.002423537,1.559432713,0.107627265,0.003735073,13.50722457,0.001858325,1.188539309,227.2952157,1.931196179,0.860098939,0.013700468,0.859861448,7.138584492,0,0.066710678,0.07713008,0.07900318
TgC,1854,0.853101828,0.137653867,0.005166815,-4.77E-05,0.057608085,20.22791048,0.116043185,11.04666749,1.986312796,0.408430952,0.002055291,0.000174535,0.396612976,0.00366704,3.968904011,0.318786976,0.006780371,0.358215698,0.15652239,1.203229619,0.57199182,0.037877002,9.019099747,0.010027861,0.927410336,0.154342261,0.000181272,0.000792703,0.731339836,0.077043094,15.51082163,0.04135563,0.077652891,1.244872085,43.80490943,2.274485775,0.044729325,0.002087182,0.279037001,0.705231334,0.853503011,0.05869365,2.021093361,0.430759897,0.38736077,0,0.003623397,0.273481387,0.51951663,0,0.142544992,0.015405247,3.02E-05,0.900802131,0.029525326,0.03430531,5.30311594,8.097912826,0.001525617,0.03462511,0.028479449,0.007622965,0.404032871,3.049989749,0.023722504,0.429158724,0.01756899,0.688655529,0.302845313,0.027148372,0.180005718,0.857610533,0.62738178,1.033040304,0,1.579450079,32.13095534,1.909786765,0.147508066,0.393786888,0.071157612,3.008345635,0.307306949,0.120498501,3.854577479,0.010652467,1.052553329,0.012982404,7.62E-05,0.297288614,0.532131929,1.063832543,0.012051687,0,0.040447433,0.000803548,0.001964134,1.592071831,0.03139474,0.208803461,1.50030206,0.113123849,4.412579907,0.075218425,0.001467689,0.008562237,0.000108074,3.501378257,0.04294528,0.976057885,1.256471734,0.088573469,0.30945876,0.150855078,7.644056047,0.011371179,0.31392693,0.23714707,0.003748481,5.936385616,0.424905085,0.001658823,0.044906827,0.00055022,1.272916289,1.662302876,0.001456934,4.597408251,0.221655015,0.355482943,0.689007459,6.135058167,0.063514502,4.200513481,0.918149676,8.56E-05,3.910938941,41.2991514,3.17E-05,0.035722591,0.022966019,0.079123142,1.581707509,0.079947213,0.072106822,0.658515762,0.370652559,0.036120882,0.074454371,0.519668894,0.3287258,2.242702969,1.53370684,0.512738981,0.003821704,0.002325918,1.134313391,0.008287748,0.000893392,6.415042311,0.689856165,1.07021684,0.134850135,0.363564231,3.373166872,0.045857608,0.001108462,0.019396547,0.023174793,0.002436616,1.305341608,0.107074918,0.003780225,13.42403303,0.001863996,1.076676032,230.90126,1.940484821,0.856062423,0.014399312,0.870233331,7.176901888,0,0.068342398,0.077157588,0.079035149
TgC,1855,0.862539726,0.130214794,0.005201939,-9.08E-05,0.057616474,20.95221634,0.115299369,11.40809673,1.943026162,0.405892643,0.002080727,0.000175052,0.394383264,0.003658046,3.952598912,0.297703743,0.007029101,0.358235158,0.157746332,1.187048439,0.558179936,0.037881113,9.207605693,0.010417725,0.876892201,0.154364086,0.000183374,0.000807223,0.742063014,0.077043949,15.59990703,0.041423998,0.077695149,1.284579442,44.57885291,2.269475869,0.044738329,0.002123587,0.278271075,0.679794625,0.86164161,0.0588439,1.934472015,0.430937246,0.352920865,0,0.003610562,0.276537035,0.540849447,0,0.140693608,0.015411947,3.06E-05,0.902578098,0.029867689,0.033808514,5.233137329,7.728253579,0.001554805,0.034944021,0.028554911,0.007625889,0.401719546,2.625526261,0.024003592,0.411457566,0.017536195,0.684683402,0.302857575,0.02716782,0.183258703,0.868503373,0.625316396,0.947415023,0,1.668381977,32.5352309,1.916051415,0.150865473,0.376570949,0.071360411,2.867257716,0.30739507,0.121405203,3.887511757,0.010929699,1.0346657,0.013068973,7.65E-05,0.295548516,0.542833622,1.058934268,0.012411338,0,0.040482679,0.000811775,0.001911679,1.584323903,0.030007074,0.200220754,1.522737868,0.113149282,4.442758689,0.075221131,0.001030787,0.008589894,0.000109327,3.491020198,0.042997175,0.969975073,1.343950452,0.086311419,0.309488619,0.150867228,7.851559228,0.011371179,0.314650338,0.223289968,0.003692377,6.058698724,0.423167643,0.001678058,0.045435555,0.000541342,1.303966148,1.641063908,0.00148536,4.61657878,0.220561208,0.355482784,0.691774219,6.242350247,0.063530217,3.941304859,0.887613471,8.58E-05,3.732834152,41.29872376,3.21E-05,0.036050027,0.023680415,0.079165085,1.53027036,0.079951461,0.071980041,0.626802357,0.365031325,0.037724729,0.074457647,0.519840328,0.3287258,2.281079393,1.467332964,0.517044514,0.003806775,0.002321306,1.134558065,0.008532984,0.000894881,6.323517096,0.671630151,1.072688117,0.134109348,0.363653838,3.364359878,0.046507763,0.001121662,0.01951255,0.023011954,0.002449564,1.076552973,0.10648565,0.003824926,13.33735199,0.001869511,0.971092396,234.8522081,1.946951118,0.851586868,0.015118877,0.87553615,7.215744806,0,0.069993388,0.07718482,0.079066799
TgC,1856,0.872000908,0.12325607,0.005236711,-0.000131136,0.057624779,21.68874539,0.11449514,11.81025114,1.901194574,0.40321179,0.002097583,0.000175561,0.392203943,0.003649732,3.936318649,0.277817929,0.007287562,0.358254424,0.158967631,1.171418958,0.545031512,0.037885183,9.406821431,0.010813532,0.830229015,0.154385693,0.000185455,0.000822135,0.752826451,0.077044796,15.6671981,0.041500561,0.077736984,1.324262413,45.22078616,2.266369098,0.044747242,0.002160372,0.27797331,0.655424121,0.87013287,0.058984562,1.852146019,0.431112821,0.321024629,0,0.00359241,0.279423256,0.562951522,0,0.139368551,0.01541858,3.09E-05,0.903954223,0.030206627,0.033287218,5.165369913,7.38318248,0.001585956,0.035241949,0.028629619,0.007628784,0.399190079,2.220233609,0.024281868,0.395861437,0.01747922,0.682458342,0.302869714,0.027187074,0.186753853,0.879181269,0.623837652,0.86859013,0,1.760526803,32.94212778,1.922171651,0.15427965,0.359743739,0.071558269,2.735672255,0.30748231,0.122253064,3.92039331,0.011211444,1.015847398,0.013154677,7.67E-05,0.293663886,0.553580287,1.053582466,0.012775772,0,0.040517573,0.00081992,0.001862441,1.576077064,0.02869775,0.192214424,1.545331163,0.11317446,4.471390568,0.075223809,0.000650895,0.008623762,0.000110568,3.4879023,0.04303713,0.963568927,1.428159175,0.084171937,0.309518179,0.150879255,8.058105921,0.011371179,0.315398983,0.210260861,0.003635181,6.220288412,0.422286838,0.001697102,0.045958994,0.000531465,1.331098627,1.620509263,0.001514052,4.632187068,0.220031791,0.355527485,0.694876626,6.350949423,0.063545775,3.697793335,0.859473423,8.61E-05,3.558564426,41.28621991,3.25E-05,0.036368274,0.024405841,0.079206608,1.483139027,0.079955667,0.071828402,0.596780302,0.35952981,0.039335725,0.07446089,0.520010048,0.3287258,2.314797575,1.408056912,0.521354306,0.003798881,0.002300551,1.134800293,0.008799805,0.000896355,6.234471301,0.654085433,1.074837984,0.133323061,0.363742549,3.355231667,0.047158475,0.00113473,0.019637433,0.02281629,0.002462382,0.870586085,0.105863855,0.003869179,13.25069073,0.001874914,0.872633511,239.2393658,1.952781629,0.846691287,0.015859214,0.88020224,7.25510241,0,0.07166383,0.07721178,0.079098132
TgC,1857,0.881482498,0.116668069,0.005271136,-0.000168628,0.057633002,22.43320943,0.113630853,12.06273542,1.861043421,0.400371594,0.002122593,0.000176053,0.39013076,0.003635491,3.919370435,0.259060972,0.007549832,0.358273498,0.160187376,1.154222648,0.53241903,0.037889213,9.617996408,0.011216591,0.787029941,0.154407084,0.000187515,0.000837774,0.763629566,0.077045634,15.71938658,0.041586291,0.0777784,1.364333456,45.74762992,2.261581703,0.044756067,0.002197452,0.2784534,0.632052945,0.879446386,0.059127206,1.773744795,0.431286641,0.29147074,0,0.003568327,0.282469222,0.585423537,0,0.138855821,0.015425147,3.13E-05,0.904937913,0.030542176,0.032774571,5.098992051,7.059724916,0.001617274,0.035524407,0.02870358,0.00763165,0.396459334,1.845451774,0.024557362,0.382128575,0.017442356,0.683107443,0.302881732,0.027206136,0.19027084,0.889644138,0.623465323,0.795999846,0,1.856024137,33.35164304,1.928148224,0.157750753,0.343274629,0.071750431,2.611893376,0.307568678,0.123191804,3.953173251,0.011498431,0.996802578,0.013239523,7.69E-05,0.291645662,0.564376788,1.047796866,0.013145078,0,0.040552117,0.000827983,0.001817005,1.567239347,0.027461329,0.184746184,1.568106323,0.113199387,4.498500616,0.075226461,0.000320959,0.008652478,0.000111796,3.494605048,0.043067761,0.956774435,1.50884835,0.082167243,0.309547445,0.150891163,8.261888856,0.011371179,0.316168935,0.198005886,0.003578562,6.389736266,0.422837788,0.001715954,0.0464772,0.000522129,1.355306597,1.600724863,0.001543011,4.647855115,0.220428768,0.355206539,0.69752109,6.46051771,0.063561177,3.468805825,0.833390948,8.63E-05,3.394959448,41.26191185,3.28E-05,0.036682496,0.025142324,0.079247716,1.43981867,0.07995983,0.071655212,0.568273399,0.354136318,0.040941323,0.074464101,0.520178072,0.3287258,2.344790078,1.354525305,0.525668386,0.00377193,0.002287513,1.135040099,0.009066479,0.000897813,6.148093456,0.637323975,1.077064726,0.132491067,0.363830372,3.346897307,0.04780914,0.001147668,0.019772196,0.022628752,0.002475073,0.68046105,0.105208262,0.003912991,13.16124693,0.001880165,0.780703563,243.8990007,1.960677443,0.84145729,0.016620772,0.886379449,7.294973755,0,0.07335371,0.07723847,0.079129152
TgC,1858,0.890984614,0.110395257,0.005305216,-0.000203925,0.057641142,23.18160093,0.112717751,12.23532392,1.822155949,0.397412107,0.002151087,0.000176525,0.388209437,0.003614463,3.900973639,0.241344355,0.007813029,0.358292381,0.161404403,1.133280019,0.520302377,0.037893201,9.842394522,0.011625683,0.747157052,0.154428261,0.000189554,0.000854522,0.774472683,0.077046463,15.76287399,0.041681863,0.077819403,1.403894473,46.16857589,2.251138113,0.044764803,0.002234811,0.279851532,0.609488075,0.889880338,0.05928494,1.699025876,0.431458722,0.264255181,0,0.003554972,0.285800238,0.607513684,0,0.139391732,0.015431648,3.16E-05,0.905590999,0.03087437,0.032284768,5.034264834,6.75770369,0.001647754,0.035792108,0.028776802,0.007634488,0.39358489,1.505616188,0.024830101,0.370127945,0.017418879,0.687131097,0.30289363,0.027225006,0.193512612,0.899892828,0.624492094,0.729329762,0,1.953953463,33.7637726,1.933980932,0.161278642,0.327128098,0.071937675,2.495360893,0.307654182,0.124279641,3.985813759,0.011790049,0.978197338,0.013323521,7.71E-05,0.289528662,0.575229626,1.04168607,0.013519049,0,0.040586316,0.000835965,0.00177496,1.557987788,0.026293337,0.177727931,1.591043669,0.113224064,4.52411293,0.075229086,3.88E-05,0.008692177,0.000113012,3.513388398,0.043092704,0.949706271,1.586159923,0.080277122,0.309576419,0.150902951,8.461684789,0.011371179,0.31696084,0.186516031,0.003524141,6.546246058,0.425099218,0.001734618,0.046990223,0.000512723,1.377333046,1.581615353,0.00157223,4.664577631,0.221916977,0.354052902,0.698769274,6.570957485,0.063576426,3.253860885,0.809215695,8.65E-05,3.248124896,41.22882086,3.32E-05,0.03699829,0.025889836,0.079288414,1.400021287,0.079963952,0.071459414,0.541144381,0.348907189,0.042532008,0.07446728,0.520344415,0.3287258,2.371911941,1.307307742,0.529986738,0.003770288,0.002273688,1.135277507,0.0093321,0.000899258,6.064296614,0.621048245,1.079482397,0.131628402,0.363917318,3.340169974,0.048459598,0.001160476,0.019917522,0.022466066,0.002487637,0.502913181,0.104531926,0.003956364,13.06578805,0.00188526,0.695165869,248.6123203,1.970260993,0.836047867,0.017403108,0.892701188,7.335349659,0,0.075062998,0.077264894,0.079159862
TgC,1859,0.900507563,0.104145968,0.005338957,-0.000238757,0.0576492,23.85123948,0.11177249,12.4121572,1.783218962,0.394399133,0.002190405,0.000176975,0.386465887,0.003602614,3.882084171,0.223959625,0.008071547,0.358311075,0.162620841,1.113375535,0.508294091,0.03789715,10.06913286,0.012040798,0.708095843,0.154449227,0.000191573,0.000872144,0.785349519,0.077047285,15.80382059,0.041787654,0.077859995,1.441389848,46.43282067,2.241858963,0.044773452,0.002272457,0.282271785,0.587260616,0.901639734,0.059460932,1.625987742,0.431629083,0.237319393,0,0.00354127,0.289494754,0.628823141,0,0.141150183,0.015438084,3.19E-05,0.905997868,0.031203242,0.031825452,4.969819399,6.464069716,0.001675183,0.036045346,0.028849291,0.007637297,0.390644128,1.181619776,0.025100113,0.358441634,0.017431709,0.694878105,0.302905409,0.027243689,0.196690151,0.90992745,0.627121459,0.664549072,0,2.054805152,34.17851435,1.939670562,0.164863383,0.311264737,0.07211945,2.379328936,0.307738831,0.125543226,4.018283242,0.012086356,0.960647884,0.013406679,7.73E-05,0.287361051,0.586144436,1.035388253,0.013897962,0,0.040620173,0.000843867,0.001733951,1.548580449,0.025142191,0.170822174,1.614140842,0.113248495,4.548249347,0.075231685,-0.000210298,0.008734461,0.000114216,3.546416713,0.043105958,0.942532665,1.660722485,0.07840461,0.309605104,0.150914622,8.656589577,0.011371179,0.317778072,0.175049025,0.003473032,6.722724919,0.429272433,0.001753096,0.047498116,0.000504271,1.397250203,1.562400773,0.001601708,4.683526218,0.224608241,0.352909674,0.700029092,6.682260061,0.063591522,3.042348545,0.785672569,8.68E-05,3.106862539,41.19086294,3.35E-05,0.037319042,0.026648397,0.079328704,1.361390822,0.079968033,0.071242096,0.514437066,0.343710028,0.044102196,0.074470426,0.520509096,0.3287258,2.395284762,1.261486521,0.534308249,0.003755243,0.002271734,1.135512541,0.009594605,0.000900688,5.980459416,0.604714235,1.082210809,0.130759675,0.364003394,3.335663344,0.049109541,0.001173156,0.020073892,0.022335484,0.002500075,0.32843736,0.10385537,0.003999303,12.96769795,0.00189024,0.610810895,253.3352354,1.980969701,0.830663083,0.018206226,0.898229908,7.376206517,0,0.076791429,0.077291053,0.079190265
