Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37035.03318,38455.20777,38559.09597,38948.31398,39830.51924,39004.78461,38097.98348,39714.09338,39655.92002,39367.02385,41499.63854,39388.35263,37256.65972,37200.05885,39440.66786,39407.19097,39504.46873,40058.31331,39968.27869,35731.9896,34343.15132,35392.60519,34732.49585,35980.16459,35875.62983,37715.92662,38314.80603,38897.12267,,,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3151.518925,3068.166316,2923.102159,2831.608114,2807.953807,2854.444155,2934.074166,2961.030183,2939.685061,2941.639736,2961.593818,2991.629179,3023.878501,3035.186444,3122.581997,3230.514516,3354.945859,3487.024074,3546.444897,3481.931798,3567.52026,3614.47012,3605.623578,3655.576214,3705.815764,3722.481834,3717.632922,3721.613289,3721.7339,3704.951987,3509.982788
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.784668,1235.810063,1200.278013,1286.793659,1315.789117,1460.825751,1484.114461,1758.904477,1957.02907,1904.559926,2075.491614,2116.465258,2102.384604,2068.265904,2057.067978,2058.400221,2033.804389,2065.036235,1970.560169
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810.341131,2770.672793,2764.956402,2664.878348,2593.404385,2579.822164,2630.296472,2672.029676,2694.491446,2667.157702,2690.555842,2756.601768,2935.488039,3014.538598,3165.091104,3258.736507,3341.068388,3426.18454,3540.921917,3652.114032,3794.179493,3872.809123,3966.071236,4092.768632,4215.646002,4216.409206,4121.234849,4115.64548,4132.592996,4159.302886,4021.527153
Angola,AGO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5783.429552,5649.78213,5148.254857,3788.509556,3717.365229,4139.64077,4551.650381,4728.156924,4792.684163,4740.669236,4727.966314,4766.836736,5240.839433,5218.207712,5593.243624,6210.222188,6681.101028,7341.865199,7864.374579,7643.495786,7692.434286,7675.446085,8036.692402,8140.525973,8239.830672,8036.410898,7568.998168,7310.896589,6933.499934,6670.331458,6110.274341
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4827.037087,3496.376422,3264.827102,3598.817262,3921.622592,4471.610393,4908.941934,4400.321307,4819.077199,5474.860556,5892.593644,6441.453218,6753.894318,7154.009304,7580.142847,8040.097004,8568.566388,9150.134605,9912.167736,10313.92176,10749.48732,11052.79942,11227.97223,11361.27457,11586.83997,11878.46069,12291.86595,12770.971,13317.09931,13656.59992,13192.45191
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9541.1565,9529.698214,9807.896377,9800.838039,9827.081292,9789.408986,10009.9535,10190.4525,10491.21695,10470.36277,10908.57524,10867.14221,10700.09577,10975.37042,11657.75349,12006.58895,12404.55882,12655.34552,13062.95897,12835.32046,13113.98691,13277.07927,13662.22798,13767.62724,13836.90365,14061.62628,14254.59799,14158.44404,14251.78032,14284.54728,13341.39423
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111454.0557,106103.5527,103470.9246,98978.47461,100213.1562,101570.9921,102211.6388,105108.9963,100100.4357,97698.53739,102494.7146,98621.53639,95909.14536,97795.0272,97757.85515,90894.89881,86425.89722,76620.31506,68798.41826,58374.61533,54921.79725,56122.57668,57389.31878,59920.15231,62452.18451,65267.41513,66510.89366,67183.60531,66968.22118,68263.67553,63299.42297
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14144.76367,15221.79215,16209.32598,17312.03457,18092.02081,17362.5218,18104.69781,19347.53704,19866.24505,18981.16838,18625.28355,17610.75539,15523.03878,16714.67013,18032.61143,19426.44014,20777.65271,22424.11773,23103.45652,21519.89362,23521.27018,24647.62927,24118.86752,24424.13645,23550.09906,23933.88661,23189.52745,23597.11775,22747.24166,22066.10101,19690.66146
