Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301801382,2485090892,2631272709,2823558022,3055199979,3133020319,3170171303,3393569280,3461168700,3504019425,3770906155,3658862853,3539084620,3609000909,3894529307,3941822498,3983235582,4054942824,4051264664,3625081809,3491496479,3611815359,3562338436,3711893680,3723029361,3935242067,4017882135,4098239741,,,
Africa Eastern and Southern,AFE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.60E+11,9.62E+11,9.42E+11,9.38E+11,9.56E+11,9.98E+11,1.05E+12,1.09E+12,1.11E+12,1.14E+12,1.18E+12,1.22E+12,1.27E+12,1.31E+12,1.38E+12,1.46E+12,1.56E+12,1.67E+12,1.74E+12,1.76E+12,1.85E+12,1.93E+12,1.97E+12,2.06E+12,2.14E+12,2.21E+12,2.27E+12,2.33E+12,2.39E+12,2.45E+12,2.38E+12
Afghanistan,AFG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26890054382,29265058689,29678901146,33011757108,34780330056,39589169630,41143038133,49943751387,57116893447,57360414055,64675178731,68297470349,70158264545,71176481723,72785293848,74711922906,75600418109,78557606649,76710638230
Africa Western and Central,AFW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76E+11,5.83E+11,5.97E+11,5.91E+11,5.90E+11,6.03E+11,6.32E+11,6.59E+11,6.83E+11,6.94E+11,7.19E+11,7.57E+11,8.27E+11,8.73E+11,9.41E+11,9.96E+11,1.05E+12,1.11E+12,1.17E+12,1.25E+12,1.33E+12,1.40E+12,1.47E+12,1.56E+12,1.65E+12,1.69E+12,1.70E+12,1.74E+12,1.80E+12,1.86E+12,1.85E+12
Angola,AGO,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68524299956,69203621978,65163320249,49534929135,50198381864,57728139158,65547051778,70315126122,73613711666,75219587217,77517262957,80777637918,91816456696,94561631037,1.05E+11,1.21E+11,1.35E+11,1.53E+11,1.71E+11,1.72E+11,1.80E+11,1.86E+11,2.02E+11,2.12E+11,2.22E+11,2.24E+11,2.18E+11,2.18E+11,2.14E+11,2.12E+11,2.01E+11
Albania,ALB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15864260122,11421927530,10601020930,11614416164,12578745644,14254528066,15551690041,13853447963,15076627590,17020126049,18202380867,19711961220,20606199102,21745441146,22944630011,24212647606,25641837638,27176055330,29214270738,30194201911,31313482301,32110537604,32565621886,32891935129,33475585696,34218317343,35352647954,36696836021,38171813854,38978544595,37436788051
Andorra,AND,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12E+12,2.18E+12,2.28E+12,2.34E+12,2.41E+12,2.48E+12,2.59E+12,2.70E+12,2.84E+12,2.89E+12,3.08E+12,3.13E+12,3.15E+12,3.30E+12,3.59E+12,3.78E+12,4.00E+12,4.18E+12,4.42E+12,4.45E+12,4.65E+12,4.82E+12,5.07E+12,5.23E+12,5.37E+12,5.57E+12,5.76E+12,5.83E+12,5.98E+12,6.11E+12,5.82E+12
United Arab Emirates,ARE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04E+11,2.06E+11,2.12E+11,2.15E+11,2.30E+11,2.45E+11,2.60E+11,2.81E+11,2.82E+11,2.90E+11,3.21E+11,3.26E+11,3.34E+11,3.63E+11,3.98E+11,4.17E+11,4.58E+11,4.73E+11,4.88E+11,4.62E+11,4.70E+11,5.02E+11,5.25E+11,5.51E+11,5.75E+11,6.05E+11,6.23E+11,6.37E+11,6.45E+11,6.67E+11,6.26E+11
Argentina,ARG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61E+11,5.04E+11,5.43E+11,5.88E+11,6.22E+11,6.05E+11,6.38E+11,6.90E+11,7.16E+11,6.92E+11,6.87E+11,6.56E+11,5.85E+11,6.37E+11,6.94E+11,7.56E+11,8.16E+11,8.90E+11,9.26E+11,8.71E+11,9.59E+11,1.02E+12,1.01E+12,1.03E+12,1.00E+12,1.03E+12,1.01E+12,1.04E+12,1.01E+12,9.92E+11,8.93E+11
